"BE","MRDCL Tables"
"JH"," "
"JF"," "
"TB","1"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
"MK",," "," "," "
"TE"
"TB","10"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
"RT","TOTAL",67,67,67
"PV",,100.0000%,100.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",62,62,62
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Total Lifestage%SL%Total Usership",67,67,67
"PV",,100.0000%,100.0000%,100.0000%
"MK",," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Total Lifestage%SL%Total Usership",29,29,29
"PV",,42.4113%,42.4113%,42.4113%
"MK",," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Total Lifestage%SL%Total Usership",39,39,39
"PV",,57.5887%,57.5887%,57.5887%
"MK",," "," "," "
"TE"
"TB","11"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
"RT","TOTAL",66,66,66
"PV",,100.0000%,100.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",61,61,61
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Total Lifestage%SL%User",66,66,66
"PV",,100.0000%,100.0000%,100.0000%
"MK",," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Total Lifestage%SL%User",29,29,29
"PV",,43.2794%,43.2794%,43.2794%
"MK",," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Total Lifestage%SL%User",37,37,37
"PV",,56.7206%,56.7206%,56.7206%
"MK",," "," "," "
"TE"
"TB","12"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
"RT","TOTAL",1,1,1
"PV",,100.0000%,100.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",1,1,1
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Total Lifestage%SL%Non-user",1,1,1
"PV",,100.0000%,100.0000%,100.0000%
"MK",," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Total Lifestage%SL%Non-user",1,1,1
"PV",,100.0000%,100.0000%,100.0000%
"MK",," "," "," "
"TE"
"TB","13"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
"RT","TOTAL",31,31,31
"PV",,100.0000%,100.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",61,61,61
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Total Lifestage%VIS%Total Usership",31,31,31
"PV",,100.0000%,100.0000%,100.0000%
"MK",," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Total Lifestage%VIS%Total Usership",12,12,12
"PV",,39.9737%,39.9737%,39.9737%
"MK",," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Total Lifestage%VIS%Total Usership",18,18,18
"PV",,60.0263%,60.0263%,60.0263%
"MK",," "," "," "
"TE"
"TB","14"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
"RT","TOTAL",31,31,31
"PV",,100.0000%,100.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",61,61,61
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Total Lifestage%VIS%User",31,31,31
"PV",,100.0000%,100.0000%,100.0000%
"MK",," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Total Lifestage%VIS%User",12,12,12
"PV",,39.9737%,39.9737%,39.9737%
"MK",," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Total Lifestage%VIS%User",18,18,18
"PV",,60.0263%,60.0263%,60.0263%
"MK",," "," "," "
"TE"
"TB","16"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
