"BE","MRDCL Tables"
"JH"," "
"JF"," "
"TB","2"
"IT","Wall-E"
"VT","wtd - FEB-Q1 2024"
"HT","USER AND NON-USER URBANITY"
"BT","All respondents-UNWTD"
"CJ",,,"QUARTER 1 2024",,,,"FEBRUARY 2024",,,
"CH",,,"USER",,"NON-USER",,"USER",,"NON-USER",
"CL",,"TOTAL","URBAN","RURAL","URBAN","RURAL","URBAN","RURAL","URBAN","RURAL"
"RW","     URBAN/NCL/ABC1",5,0,0,5,0,0,0,5,0
"PV",,0.5767%,0.0000%,0.0000%,2.5510%,0.0000%,0.0000%,0.0000%,2.9940%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/NCL/C2",11,0,0,11,0,0,0,11,0
"PV",,1.2687%,0.0000%,0.0000%,5.6122%,0.0000%,0.0000%,0.0000%,6.5868%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/NCL/D",16,0,0,16,0,0,0,16,0
"PV",,1.8454%,0.0000%,0.0000%,8.1633%,0.0000%,0.0000%,0.0000%,9.5808%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/NCL/ABC1C2D",33,0,0,0,33,0,0,0,33
"PV",,3.8062%,0.0000%,0.0000%,0.0000%,21.4286%,0.0000%,0.0000%,0.0000%,24.8120%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/SL/ABC1",7,0,0,7,0,0,0,7,0
"PV",,0.8074%,0.0000%,0.0000%,3.5714%,0.0000%,0.0000%,0.0000%,4.1916%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/SL/C2",15,0,0,15,0,0,0,15,0
"PV",,1.7301%,0.0000%,0.0000%,7.6531%,0.0000%,0.0000%,0.0000%,8.9820%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/SL/D",12,0,0,12,0,0,0,12,0
"PV",,1.3841%,0.0000%,0.0000%,6.1224%,0.0000%,0.0000%,0.0000%,7.1856%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/SL/ABC1C2",6,0,0,0,6,0,0,0,6
"PV",,0.6920%,0.0000%,0.0000%,0.0000%,3.8961%,0.0000%,0.0000%,0.0000%,4.5113%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/SL/D",27,0,0,0,27,0,0,0,27
"PV",,3.1142%,0.0000%,0.0000%,0.0000%,17.5325%,0.0000%,0.0000%,0.0000%,20.3008%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/VIS/ABC1C2",15,0,0,15,0,0,0,15,0
"PV",,1.7301%,0.0000%,0.0000%,7.6531%,0.0000%,0.0000%,0.0000%,8.9820%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/VIS/D",19,0,0,19,0,0,0,19,0
"PV",,2.1915%,0.0000%,0.0000%,9.6939%,0.0000%,0.0000%,0.0000%,11.3772%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/VIS/ABC1C2",7,0,0,0,7,0,0,0,7
"PV",,0.8074%,0.0000%,0.0000%,0.0000%,4.5455%,0.0000%,0.0000%,0.0000%,5.2632%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/VIS/D",26,0,0,0,26,0,0,0,26
"PV",,2.9988%,0.0000%,0.0000%,0.0000%,16.8831%,0.0000%,0.0000%,0.0000%,19.5489%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/MIN/ABC1C2",9,0,0,9,0,0,0,9,0
"PV",,1.0381%,0.0000%,0.0000%,4.5918%,0.0000%,0.0000%,0.0000%,5.3892%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/MIN/D",24,0,0,24,0,0,0,24,0
"PV",,2.7682%,0.0000%,0.0000%,12.2449%,0.0000%,0.0000%,0.0000%,14.3713%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/MIN/ABC1C2",8,0,0,0,8,0,0,0,8
"PV",,0.9227%,0.0000%,0.0000%,0.0000%,5.1948%,0.0000%,0.0000%,0.0000%,6.0150%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/MIN/D",26,0,0,0,26,0,0,0,26
"PV",,2.9988%,0.0000%,0.0000%,0.0000%,16.8831%,0.0000%,0.0000%,0.0000%,19.5489%
"MK",," "," "," "," "," "," "," "," "," "
"TE"
"TB","3"
"IT","Wall-E"
"VT","wtd - FEB-Q1 2024"
"HT","USER AND NON-USER URBANITY"
"BT","All respondents-WTD"
"CJ",,,"QUARTER 1 2024",,,,"FEBRUARY 2024",,,
"CH",,,"USER",,"NON-USER",,"USER",,"NON-USER",
"CL",,"TOTAL","URBAN","RURAL","URBAN","RURAL","URBAN","RURAL","URBAN","RURAL"
"RT","TOTAL",600,153,90,158,199,153,90,158,199
"PV",,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",867,213,148,196,154,167,133,167,133
"RH","FEB 2024 USER"
"BL"
"RW","     URBAN/MMA/ABC1",5,5,0,0,0,5,0,0,0
"PV",,0.8788%,3.4382%,0.0000%,0.0000%,0.0000%,3.4382%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/MMA/C2",30,30,0,0,0,30,0,0,0
"PV",,4.9258%,19.2713%,0.0000%,0.0000%,0.0000%,19.2713%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/MMA/D",23,23,0,0,0,23,0,0,0
"PV",,3.7899%,14.8273%,0.0000%,0.0000%,0.0000%,14.8273%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/NCL/ABC1",1,1,0,0,0,1,0,0,0
"PV",,0.1042%,0.4075%,0.0000%,0.0000%,0.0000%,0.4075%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/NCL/C2",7,7,0,0,0,7,0,0,0
"PV",,1.1425%,4.4698%,0.0000%,0.0000%,0.0000%,4.4698%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/NCL/D",7,7,0,0,0,7,0,0,0
"PV",,1.1845%,4.6343%,0.0000%,0.0000%,0.0000%,4.6343%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/NCL/ABC1C2D",12,0,12,0,0,0,12,0,0
"PV",,2.0067%,0.0000%,13.3243%,0.0000%,0.0000%,0.0000%,13.3243%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/SL/ABC1",2,2,0,0,0,2,0,0,0
"PV",,0.4034%,1.5783%,0.0000%,0.0000%,0.0000%,1.5783%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/SL/C2",10,10,0,0,0,10,0,0,0
"PV",,1.7430%,6.8190%,0.0000%,0.0000%,0.0000%,6.8190%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/SL/D",20,20,0,0,0,20,0,0,0
"PV",,3.2529%,12.7265%,0.0000%,0.0000%,0.0000%,12.7265%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/SL/ABC1C2",14,0,14,0,0,0,14,0,0
"PV",,2.4104%,0.0000%,16.0051%,0.0000%,0.0000%,0.0000%,16.0051%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/SL/D",23,0,23,0,0,0,23,0,0
"PV",,3.8277%,0.0000%,25.4159%,0.0000%,0.0000%,0.0000%,25.4159%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/VIS/ABC1C2",9,9,0,0,0,9,0,0,0
"PV",,1.4887%,5.8242%,0.0000%,0.0000%,0.0000%,5.8242%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/VIS/D",9,9,0,0,0,9,0,0,0
"PV",,1.5144%,5.9249%,0.0000%,0.0000%,0.0000%,5.9249%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/VIS/ABC1C2",3,0,3,0,0,0,3,0,0
"PV",,0.4238%,0.0000%,2.8137%,0.0000%,0.0000%,0.0000%,2.8137%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/VIS/D",5,0,5,0,0,0,5,0,0
"PV",,0.7625%,0.0000%,5.0627%,0.0000%,0.0000%,0.0000%,5.0627%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/MIN/ABC1C2",16,16,0,0,0,16,0,0,0
"PV",,2.5995%,10.1702%,0.0000%,0.0000%,0.0000%,10.1702%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/MIN/D",15,15,0,0,0,15,0,0,0
"PV",,2.5327%,9.9086%,0.0000%,0.0000%,0.0000%,9.9086%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/MIN/ABC1C2",6,0,6,0,0,0,6,0,0
"PV",,1.0192%,0.0000%,6.7673%,0.0000%,0.0000%,0.0000%,6.7673%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/MIN/D",28,0,28,0,0,0,28,0,0
"PV",,4.6101%,0.0000%,30.6111%,0.0000%,0.0000%,0.0000%,30.6111%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"RH","FEB 2024 NON-USER"
"BL"
"RW","     URBAN/MMA/ABC1",7,0,0,7,0,0,0,7,0
"PV",,1.2303%,0.0000%,0.0000%,4.6862%,0.0000%,0.0000%,0.0000%,4.6862%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/MMA/C2",12,0,0,12,0,0,0,12,0
"PV",,1.9703%,0.0000%,0.0000%,7.5053%,0.0000%,0.0000%,0.0000%,7.5053%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/MMA/D",16,0,0,16,0,0,0,16,0
"PV",,2.7070%,0.0000%,0.0000%,10.3113%,0.0000%,0.0000%,0.0000%,10.3113%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/NCL/ABC1",1,0,0,1,0,0,0,1,0
"PV",,0.1042%,0.0000%,0.0000%,0.3968%,0.0000%,0.0000%,0.0000%,0.3968%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/NCL/C2",11,0,0,11,0,0,0,11,0
"PV",,1.7956%,0.0000%,0.0000%,6.8396%,0.0000%,0.0000%,0.0000%,6.8396%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/NCL/D",19,0,0,19,0,0,0,19,0
"PV",,3.1590%,0.0000%,0.0000%,12.0329%,0.0000%,0.0000%,0.0000%,12.0329%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/NCL/ABC1C2D",60,0,0,0,60,0,0,0,60
"PV",,10.0321%,0.0000%,0.0000%,0.0000%,30.2840%,0.0000%,0.0000%,0.0000%,30.2840%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/SL/ABC1",4,0,0,4,0,0,0,4,0
"PV",,0.6052%,0.0000%,0.0000%,2.3051%,0.0000%,0.0000%,0.0000%,2.3051%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/SL/C2",21,0,0,21,0,0,0,21,0
"PV",,3.4860%,0.0000%,0.0000%,13.2788%,0.0000%,0.0000%,0.0000%,13.2788%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/SL/D",25,0,0,25,0,0,0,25,0
"PV",,4.2288%,0.0000%,0.0000%,16.1082%,0.0000%,0.0000%,0.0000%,16.1082%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/SL/ABC1C2",14,0,0,0,14,0,0,0,14
"PV",,2.4105%,0.0000%,0.0000%,0.0000%,7.2767%,0.0000%,0.0000%,0.0000%,7.2767%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/SL/D",38,0,0,0,38,0,0,0,38
"PV",,6.3797%,0.0000%,0.0000%,0.0000%,19.2585%,0.0000%,0.0000%,0.0000%,19.2585%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/VIS/ABC1C2",6,0,0,6,0,0,0,6,0
"PV",,1.0753%,0.0000%,0.0000%,4.0958%,0.0000%,0.0000%,0.0000%,4.0958%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/VIS/D",9,0,0,9,0,0,0,9,0
"PV",,1.5143%,0.0000%,0.0000%,5.7682%,0.0000%,0.0000%,0.0000%,5.7682%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/VIS/ABC1C2",4,0,0,0,4,0,0,0,4
"PV",,0.7064%,0.0000%,0.0000%,0.0000%,2.1325%,0.0000%,0.0000%,0.0000%,2.1325%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/VIS/D",34,0,0,0,34,0,0,0,34
"PV",,5.5909%,0.0000%,0.0000%,0.0000%,16.8774%,0.0000%,0.0000%,0.0000%,16.8774%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/MIN/ABC1C2",6,0,0,6,0,0,0,6,0
"PV",,0.9999%,0.0000%,0.0000%,3.8088%,0.0000%,0.0000%,0.0000%,3.8088%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/MIN/D",20,0,0,20,0,0,0,20,0
"PV",,3.3768%,0.0000%,0.0000%,12.8628%,0.0000%,0.0000%,0.0000%,12.8628%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/MIN/ABC1C2",10,0,0,0,10,0,0,0,10
"PV",,1.6985%,0.0000%,0.0000%,0.0000%,5.1274%,0.0000%,0.0000%,0.0000%,5.1274%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/MIN/D",38,0,0,0,38,0,0,0,38
"PV",,6.3085%,0.0000%,0.0000%,0.0000%,19.0436%,0.0000%,0.0000%,0.0000%,19.0436%
"MK",," "," "," "," "," "," "," "," "," "
"TE"
"EN"
