"BE","MRDCL Tables"
"JH"," "
"JF"," "
"TB","1"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024","FEB 2024"
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand who genuinely cares about its customers%GCash%Total SEC%Youth (21 yo below)%MIN%Total Usership",6,6,0,6
"PV",,54.4291%,54.4291%,0.0000%,54.4291%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has malasakit/concern for the community%GCash%Total SEC%Youth (21 yo below)%MIN%Total Usership",5,5,0,5
"PV",,48.9276%,48.9276%,0.0000%,48.9276%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has reliable customer service when needed%GCash%Total SEC%Youth (21 yo below)%MIN%Total Usership",11,11,0,11
"PV",,94.4985%,94.4985%,0.0000%,94.4985%
"MK",," "," "," "," "
"BL"
"RW","P2M%Gives me perks, rewards, and privileges that are relevant to me%GCash%Total SEC%Youth (21 yo below)%MIN%Total Usership",11,11,0,11
"PV",,95.3226%,95.3226%,0.0000%,95.3226%
"MK",," "," "," "," "
"BL"
"RW","P2M%Opens up opportunities to progress more in life%GCash%Total SEC%Youth (21 yo below)%MIN%Total Usership",5,5,0,5
"PV",,42.1567%,42.1567%,0.0000%,42.1567%
"MK",," "," "," "," "
"BL"
"RW","P2M%Can be used anywhere (widely accepted, online and in-store)%GCash%Total SEC%Youth (21 yo below)%MIN%Total Usership",11,11,0,11
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has low to no transaction fees%GCash%Total SEC%Youth (21 yo below)%MIN%Total Usership",11,11,0,11
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has features that can help me assure my future by growing my finances%GCash%Total SEC%Youth (21 yo below)%MIN%Total Usership",10,10,0,10
"PV",,87.7276%,87.7276%,0.0000%,87.7276%
"MK",," "," "," "," "
"BL"
"RW","P2M%Complete and all-in one financial app/solution/website%GCash%Total SEC%Youth (21 yo below)%MIN%Total Usership",10,10,0,10
"PV",,92.4050%,92.4050%,0.0000%,92.4050%
"MK",," "," "," "," "
"BL"
"RW","P2M%Widely and highly recommended e-wallet brand%GCash%Total SEC%Youth (21 yo below)%MIN%Total Usership",11,11,0,11
"PV",,95.3226%,95.3226%,0.0000%,95.3226%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has advertisements I can relate to%GCash%Total SEC%Youth (21 yo below)%MIN%Total Usership",11,11,0,11
"PV",,94.4985%,94.4985%,0.0000%,94.4985%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that is trustworthy%GCash%Total SEC%Youth (21 yo below)%MIN%Total Usership",6,6,0,6
"PV",,49.7517%,49.7517%,0.0000%,49.7517%
"MK",," "," "," "," "
"BL"
"RW","P2M%Products and services are easy to avail of and use%GCash%Total SEC%Youth (21 yo below)%MIN%Total Usership",11,11,0,11
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Does not take advantage of my personal and transaction data%GCash%Total SEC%Youth (21 yo below)%MIN%Total Usership",5,5,0,5
"PV",,42.1567%,42.1567%,0.0000%,42.1567%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that helps customers to develop their financial skills and understanding%GCash%Total SEC%Youth (21 yo below)%MIN%Total Usership",11,11,0,11
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand I can depend on for emergency or additional funds%GCash%Total SEC%Youth (21 yo below)%MIN%Total Usership",11,11,0,11
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Helps me get ready for a better tomorrow%GCash%Total SEC%Youth (21 yo below)%MIN%Total Usership",10,10,0,10
"PV",,92.4050%,92.4050%,0.0000%,92.4050%
"MK",," "," "," "," "
"BL"
"RW","P2M%Gives me hope for the future%GCash%Total SEC%Youth (21 yo below)%MIN%Total Usership",11,11,0,11
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"TE"
"TB","35"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024","FEB 2024"
"RT","TOTAL",10,10,0,10
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",8,8,0,8
"BL"
"RW","P2M%Creates new and continuously innovate its products and services%GCash%Total SEC%Youth (21 yo below)%MIN%User",10,10,0,10
"PV",,94.9382%,94.9382%,0.0000%,94.9382%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand for everyone (young or old, rich or poor)%GCash%Total SEC%Youth (21 yo below)%MIN%User",10,10,0,10
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that is safe and secure%GCash%Total SEC%Youth (21 yo below)%MIN%User",5,5,0,5
"PV",,45.6217%,45.6217%,0.0000%,45.6217%
"MK",," "," "," "," "
"BL"
"RW","P2M%Provides relevant digital products and services%GCash%Total SEC%Youth (21 yo below)%MIN%User",10,10,0,10
"PV",,94.0463%,94.0463%,0.0000%,94.0463%
"MK",," "," "," "," "
"BL"
"RW","P2M%Can be used whenever needed (any time and any day)%GCash%Total SEC%Youth (21 yo below)%MIN%User",10,10,0,10
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Makes everyday life easier%GCash%Total SEC%Youth (21 yo below)%MIN%User",10,10,0,10
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand for me%GCash%Total SEC%Youth (21 yo below)%MIN%User",10,10,0,10
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand who genuinely cares about its customers%GCash%Total SEC%Youth (21 yo below)%MIN%User",5,5,0,5
"PV",,50.6835%,50.6835%,0.0000%,50.6835%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has malasakit/concern for the community%GCash%Total SEC%Youth (21 yo below)%MIN%User",5,5,0,5
"PV",,44.7298%,44.7298%,0.0000%,44.7298%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has reliable customer service when needed%GCash%Total SEC%Youth (21 yo below)%MIN%User",10,10,0,10
"PV",,94.0463%,94.0463%,0.0000%,94.0463%
"MK",," "," "," "," "
"BL"
"RW","P2M%Gives me perks, rewards, and privileges that are relevant to me%GCash%Total SEC%Youth (21 yo below)%MIN%User",10,10,0,10
"PV",,94.9382%,94.9382%,0.0000%,94.9382%
"MK",," "," "," "," "
"BL"
"RW","P2M%Opens up opportunities to progress more in life%GCash%Total SEC%Youth (21 yo below)%MIN%User",5,5,0,5
"PV",,45.6217%,45.6217%,0.0000%,45.6217%
"MK",," "," "," "," "
"BL"
"RW","P2M%Can be used anywhere (widely accepted, online and in-store)%GCash%Total SEC%Youth (21 yo below)%MIN%User",10,10,0,10
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has low to no transaction fees%GCash%Total SEC%Youth (21 yo below)%MIN%User",10,10,0,10
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has features that can help me assure my future by growing my finances%GCash%Total SEC%Youth (21 yo below)%MIN%User",10,10,0,10
"PV",,94.9382%,94.9382%,0.0000%,94.9382%
"MK",," "," "," "," "
"BL"
"RW","P2M%Complete and all-in one financial app/solution/website%GCash%Total SEC%Youth (21 yo below)%MIN%User",10,10,0,10
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Widely and highly recommended e-wallet brand%GCash%Total SEC%Youth (21 yo below)%MIN%User",10,10,0,10
"PV",,94.9382%,94.9382%,0.0000%,94.9382%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has advertisements I can relate to%GCash%Total SEC%Youth (21 yo below)%MIN%User",10,10,0,10
"PV",,94.0463%,94.0463%,0.0000%,94.0463%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that is trustworthy%GCash%Total SEC%Youth (21 yo below)%MIN%User",5,5,0,5
"PV",,45.6217%,45.6217%,0.0000%,45.6217%
"MK",," "," "," "," "
"BL"
"RW","P2M%Products and services are easy to avail of and use%GCash%Total SEC%Youth (21 yo below)%MIN%User",10,10,0,10
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Does not take advantage of my personal and transaction data%GCash%Total SEC%Youth (21 yo below)%MIN%User",5,5,0,5
"PV",,45.6217%,45.6217%,0.0000%,45.6217%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that helps customers to develop their financial skills and understanding%GCash%Total SEC%Youth (21 yo below)%MIN%User",10,10,0,10
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand I can depend on for emergency or additional funds%GCash%Total SEC%Youth (21 yo below)%MIN%User",10,10,0,10
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Helps me get ready for a better tomorrow%GCash%Total SEC%Youth (21 yo below)%MIN%User",10,10,0,10
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Gives me hope for the future%GCash%Total SEC%Youth (21 yo below)%MIN%User",10,10,0,10
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"TE"
"TB","36"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024","FEB 2024"
"RT","TOTAL",1,1,0,1
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",1,1,0,1
"BL"
"RW","P2M%Creates new and continuously innovate its products and services%GCash%Total SEC%Youth (21 yo below)%MIN%Non-user",1,1,0,1
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand for everyone (young or old, rich or poor)%GCash%Total SEC%Youth (21 yo below)%MIN%Non-user",1,1,0,1
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that is safe and secure%GCash%Total SEC%Youth (21 yo below)%MIN%Non-user",1,1,0,1
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Provides relevant digital products and services%GCash%Total SEC%Youth (21 yo below)%MIN%Non-user",1,1,0,1
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Can be used whenever needed (any time and any day)%GCash%Total SEC%Youth (21 yo below)%MIN%Non-user",1,1,0,1
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Makes everyday life easier%GCash%Total SEC%Youth (21 yo below)%MIN%Non-user",1,1,0,1
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand for me%GCash%Total SEC%Youth (21 yo below)%MIN%Non-user",1,1,0,1
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand who genuinely cares about its customers%GCash%Total SEC%Youth (21 yo below)%MIN%Non-user",1,1,0,1
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has malasakit/concern for the community%GCash%Total SEC%Youth (21 yo below)%MIN%Non-user",1,1,0,1
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has reliable customer service when needed%GCash%Total SEC%Youth (21 yo below)%MIN%Non-user",1,1,0,1
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Gives me perks, rewards, and privileges that are relevant to me%GCash%Total SEC%Youth (21 yo below)%MIN%Non-user",1,1,0,1
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Can be used anywhere (widely accepted, online and in-store)%GCash%Total SEC%Youth (21 yo below)%MIN%Non-user",1,1,0,1
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has low to no transaction fees%GCash%Total SEC%Youth (21 yo below)%MIN%Non-user",1,1,0,1
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Widely and highly recommended e-wallet brand%GCash%Total SEC%Youth (21 yo below)%MIN%Non-user",1,1,0,1
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has advertisements I can relate to%GCash%Total SEC%Youth (21 yo below)%MIN%Non-user",1,1,0,1
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that is trustworthy%GCash%Total SEC%Youth (21 yo below)%MIN%Non-user",1,1,0,1
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Products and services are easy to avail of and use%GCash%Total SEC%Youth (21 yo below)%MIN%Non-user",1,1,0,1
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that helps customers to develop their financial skills and understanding%GCash%Total SEC%Youth (21 yo below)%MIN%Non-user",1,1,0,1
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand I can depend on for emergency or additional funds%GCash%Total SEC%Youth (21 yo below)%MIN%Non-user",1,1,0,1
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Gives me hope for the future%GCash%Total SEC%Youth (21 yo below)%MIN%Non-user",1,1,0,1
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"TE"
"TB","37"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024","FEB 2024"
"RT","TOTAL",78,78,0,78
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",89,89,0,89
"BL"
"RW","P2M%Creates new and continuously innovate its products and services%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",72,72,0,72
"PV",,92.1374%,92.1374%,0.0000%,92.1374%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand for everyone (young or old, rich or poor)%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",68,68,0,68
"PV",,88.1143%,88.1143%,0.0000%,88.1143%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that is safe and secure%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",66,66,0,66
"PV",,84.7802%,84.7802%,0.0000%,84.7802%
"MK",," "," "," "," "
"BL"
"RW","P2M%Provides relevant digital products and services%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",65,65,0,65
"PV",,83.2301%,83.2301%,0.0000%,83.2301%
"MK",," "," "," "," "
"BL"
"RW","P2M%Can be used whenever needed (any time and any day)%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",73,73,0,73
"PV",,93.8339%,93.8339%,0.0000%,93.8339%
"MK",," "," "," "," "
"BL"
"RW","P2M%Makes everyday life easier%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",65,65,0,65
"PV",,83.4919%,83.4919%,0.0000%,83.4919%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand for me%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",71,71,0,71
"PV",,92.0068%,92.0068%,0.0000%,92.0068%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand who genuinely cares about its customers%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",66,66,0,66
"PV",,84.9931%,84.9931%,0.0000%,84.9931%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has malasakit/concern for the community%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",64,64,0,64
"PV",,82.9777%,82.9777%,0.0000%,82.9777%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has reliable customer service when needed%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",67,67,0,67
"PV",,85.9844%,85.9844%,0.0000%,85.9844%
"MK",," "," "," "," "
"BL"
"RW","P2M%Gives me perks, rewards, and privileges that are relevant to me%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",63,63,0,63
"PV",,81.1893%,81.1893%,0.0000%,81.1893%
"MK",," "," "," "," "
"BL"
"RW","P2M%Opens up opportunities to progress more in life%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",63,63,0,63
"PV",,81.2988%,81.2988%,0.0000%,81.2988%
"MK",," "," "," "," "
"BL"
"RW","P2M%Can be used anywhere (widely accepted, online and in-store)%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",71,71,0,71
"PV",,90.8762%,90.8762%,0.0000%,90.8762%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has low to no transaction fees%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",64,64,0,64
"PV",,82.2224%,82.2224%,0.0000%,82.2224%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has features that can help me assure my future by growing my finances%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",63,63,0,63
"PV",,81.0548%,81.0548%,0.0000%,81.0548%
"MK",," "," "," "," "
"BL"
"RW","P2M%Complete and all-in one financial app/solution/website%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",64,64,0,64
"PV",,81.9259%,81.9259%,0.0000%,81.9259%
"MK",," "," "," "," "
"BL"
"RW","P2M%Widely and highly recommended e-wallet brand%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",69,69,0,69
"PV",,89.4112%,89.4112%,0.0000%,89.4112%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has advertisements I can relate to%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",62,62,0,62
"PV",,80.0787%,80.0787%,0.0000%,80.0787%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that is trustworthy%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",67,67,0,67
"PV",,86.4274%,86.4274%,0.0000%,86.4274%
"MK",," "," "," "," "
"BL"
"RW","P2M%Products and services are easy to avail of and use%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",73,73,0,73
"PV",,94.2770%,94.2770%,0.0000%,94.2770%
"MK",," "," "," "," "
"BL"
"RW","P2M%Does not take advantage of my personal and transaction data%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",67,67,0,67
"PV",,86.3375%,86.3375%,0.0000%,86.3375%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that helps customers to develop their financial skills and understanding%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",66,66,0,66
"PV",,84.9847%,84.9847%,0.0000%,84.9847%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand I can depend on for emergency or additional funds%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",69,69,0,69
"PV",,88.5603%,88.5603%,0.0000%,88.5603%
"MK",," "," "," "," "
"BL"
"RW","P2M%Helps me get ready for a better tomorrow%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",64,64,0,64
"PV",,82.8704%,82.8704%,0.0000%,82.8704%
"MK",," "," "," "," "
"BL"
"RW","P2M%Gives me hope for the future%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",61,61,0,61
"PV",,78.0814%,78.0814%,0.0000%,78.0814%
"MK",," "," "," "," "
"TE"
"TB","38"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024","FEB 2024"
"RT","TOTAL",66,66,0,66
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",82,82,0,82
"BL"
"RW","P2M%Creates new and continuously innovate its products and services%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",60,60,0,60
"PV",,90.7438%,90.7438%,0.0000%,90.7438%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand for everyone (young or old, rich or poor)%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",57,57,0,57
"PV",,86.0074%,86.0074%,0.0000%,86.0074%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that is safe and secure%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",56,56,0,56
"PV",,84.2319%,84.2319%,0.0000%,84.2319%
"MK",," "," "," "," "
"BL"
"RW","P2M%Provides relevant digital products and services%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",55,55,0,55
"PV",,83.4635%,83.4635%,0.0000%,83.4635%
"MK",," "," "," "," "
"BL"
"RW","P2M%Can be used whenever needed (any time and any day)%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",61,61,0,61
"PV",,92.7410%,92.7410%,0.0000%,92.7410%
"MK",," "," "," "," "
"BL"
"RW","P2M%Makes everyday life easier%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",57,57,0,57
"PV",,85.9213%,85.9213%,0.0000%,85.9213%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand for me%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",60,60,0,60
"PV",,90.5900%,90.5900%,0.0000%,90.5900%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand who genuinely cares about its customers%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",56,56,0,56
"PV",,84.4825%,84.4825%,0.0000%,84.4825%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has malasakit/concern for the community%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",54,54,0,54
"PV",,82.1099%,82.1099%,0.0000%,82.1099%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has reliable customer service when needed%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",56,56,0,56
"PV",,85.6496%,85.6496%,0.0000%,85.6496%
"MK",," "," "," "," "
"BL"
"RW","P2M%Gives me perks, rewards, and privileges that are relevant to me%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",53,53,0,53
"PV",,80.0046%,80.0046%,0.0000%,80.0046%
"MK",," "," "," "," "
"BL"
"RW","P2M%Opens up opportunities to progress more in life%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",53,53,0,53
"PV",,80.1335%,80.1335%,0.0000%,80.1335%
"MK",," "," "," "," "
"BL"
"RW","P2M%Can be used anywhere (widely accepted, online and in-store)%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",60,60,0,60
"PV",,91.4085%,91.4085%,0.0000%,91.4085%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has low to no transaction fees%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",55,55,0,55
"PV",,82.8197%,82.8197%,0.0000%,82.8197%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has features that can help me assure my future by growing my finances%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",53,53,0,53
"PV",,79.8462%,79.8462%,0.0000%,79.8462%
"MK",," "," "," "," "
"BL"
"RW","P2M%Complete and all-in one financial app/solution/website%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",53,53,0,53
"PV",,80.8718%,80.8718%,0.0000%,80.8718%
"MK",," "," "," "," "
"BL"
"RW","P2M%Widely and highly recommended e-wallet brand%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",59,59,0,59
"PV",,89.6839%,89.6839%,0.0000%,89.6839%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has advertisements I can relate to%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",54,54,0,54
"PV",,81.9031%,81.9031%,0.0000%,81.9031%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that is trustworthy%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",57,57,0,57
"PV",,86.1712%,86.1712%,0.0000%,86.1712%
"MK",," "," "," "," "
"BL"
"RW","P2M%Products and services are easy to avail of and use%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",62,62,0,62
"PV",,93.2625%,93.2625%,0.0000%,93.2625%
"MK",," "," "," "," "
"BL"
"RW","P2M%Does not take advantage of my personal and transaction data%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",57,57,0,57
"PV",,86.0654%,86.0654%,0.0000%,86.0654%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that helps customers to develop their financial skills and understanding%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",56,56,0,56
"PV",,84.4727%,84.4727%,0.0000%,84.4727%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand I can depend on for emergency or additional funds%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",57,57,0,57
"PV",,86.5325%,86.5325%,0.0000%,86.5325%
"MK",," "," "," "," "
"BL"
"RW","P2M%Helps me get ready for a better tomorrow%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",54,54,0,54
"PV",,81.9836%,81.9836%,0.0000%,81.9836%
"MK",," "," "," "," "
"BL"
"RW","P2M%Gives me hope for the future%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",52,52,0,52
"PV",,79.5517%,79.5517%,0.0000%,79.5517%
"MK",," "," "," "," "
"TE"
"TB","39"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024","FEB 2024"
"RT","TOTAL",12,12,0,12
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",7,7,0,7
"BL"
"RW","P2M%Creates new and continuously innovate its products and services%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Non-user",12,12,0,12
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand for everyone (young or old, rich or poor)%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Non-user",12,12,0,12
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that is safe and secure%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Non-user",10,10,0,10
"PV",,87.8731%,87.8731%,0.0000%,87.8731%
"MK",," "," "," "," "
"BL"
"RW","P2M%Provides relevant digital products and services%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Non-user",10,10,0,10
"PV",,81.9135%,81.9135%,0.0000%,81.9135%
"MK",," "," "," "," "
"BL"
"RW","P2M%Can be used whenever needed (any time and any day)%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Non-user",12,12,0,12
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Makes everyday life easier%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Non-user",8,8,0,8
"PV",,69.7866%,69.7866%,0.0000%,69.7866%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand for me%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Non-user",12,12,0,12
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand who genuinely cares about its customers%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Non-user",10,10,0,10
