"BE","MRDCL Tables"
"JH","PROJECT WALL E"
"JF"," "
"TB","1"
"VT","Q64. BRAND ASSOCIATION - KEY BRANDS - BDO Mobile/Online"
"HT","TOTAL"
"BT","AMONG BRAND AWARE - BDO Mobile/Online"
"CL",,"TOTAL (a)","JAN 2024 (b)","FEB 2024 (c)"
"PV",,13.4615%,14.2857%,12.5000%
"MK",," "," "," "
"BL"
"RW","Brand that is trustworthy",22,13,9
"PV",,21.1538%,23.2143%,18.7500%
"MK",," "," "," "
"BL"
"RW","Products and services are easy to avail of and use",17,14,3
"PV",,16.3462%,25.0000%,6.2500%
"MK",," "," C"," "
"BL"
"RW","Does not take advantage of my personal and transaction data",21,12,9
"PV",,20.1923%,21.4286%,18.7500%
"MK",," "," "," "
"BL"
"RW","Brand that helps customers to develop their financial skills and understanding",23,12,11
"PV",,22.1154%,21.4286%,22.9167%
"MK",," "," "," "
"BL"
"RW","Brand I can depend on for emergency or additional funds",22,13,9
"PV",,21.1538%,23.2143%,18.7500%
"MK",," "," "," "
"BL"
"RW","Helps me get ready for a better tomorrow",23,10,13
"PV",,22.1154%,17.8571%,27.0833%
"MK",," "," "," "
"BL"
"RW","Gives me hope for the future",24,11,13
"PV",,23.0769%,19.6429%,27.0833%
"MK",," "," "," "
"BL"
"RW","Not Associated",54,34,20
"PV",,51.9231%,60.7143%,41.6667%
"MK",," "," "," "
"BL"
"RW","Total Count",551,305,246
"PV",,529.8077%,544.6429%,512.5000%
"MK",," "," "," "
"TE"
"TB","3"
"VT","Q64. BRAND ASSOCIATION - KEY BRANDS - CLIQQ"
"HT","TOTAL"
"BT","AMONG BRAND AWARE - CLIQQ"
"CL",,"TOTAL (a)","JAN 2024 (b)","FEB 2024 (c)"
"RT","Total",78,35,43
"PV",,100.0000%,100.0000%,100.0000%
"BL"
"RW","Creates new and continuously innovate its products and services",10,6,4
"PV",,12.8205%,17.1429%,9.3023%
"MK",," "," "," "
"BL"
"RW","Brand for everyone (young or old, rich or poor)",11,4,7
"PV",,14.1026%,11.4286%,16.2791%
"MK",," "," "," "
"BL"
"RW","Brand that is safe and secure",8,5,3
"PV",,10.2564%,14.2857%,6.9767%
"MK",," "," "," "
"BL"
"RW","Provides relevant digital products and services",7,4,3
"PV",,8.9744%,11.4286%,6.9767%
"MK",," "," "," "
"BL"
"RW","Can be used whenever needed (any time and any day)",7,3,4
"PV",,8.9744%,8.5714%,9.3023%
"MK",," "," "," "
"BL"
"RW","Makes everyday life easier",14,8,6
"PV",,17.9487%,22.8571%,13.9535%
"MK",," "," "," "
"BL"
"RW","Brand for me",9,5,4
