"BE","MRDCL Tables"
"JH","PROJECT WALL E"
"JF"," "
"TB","1"
"VT","Q64. BRAND ASSOCIATION - KEY BRANDS - BDO Mobile/Online"
"HT","TOTAL"
"BT","AMONG BRAND AWARE - BDO Mobile/Online"
"CL",,"TOTAL (a)","JAN 2024 (b)","FEB 2024 (c)"
"MK",," "," "," "
"BL"
"RW","Brand for everyone (young or old, rich or poor)",33,19,14
"PV",,11.2628%,11.6564%,10.7692%
"MK",," "," "," "
"BL"
"RW","Brand that is safe and secure",31,21,10
"PV",,10.5802%,12.8834%,7.6923%
"MK",," "," "," "
"BL"
"RW","Provides relevant digital products and services",22,12,10
"PV",,7.5085%,7.3620%,7.6923%
"MK",," "," "," "
"BL"
"RW","Can be used whenever needed (any time and any day)",28,16,12
"PV",,9.5563%,9.8160%,9.2308%
"MK",," "," "," "
"BL"
"RW","Makes everyday life easier",24,15,9
"PV",,8.1911%,9.2025%,6.9231%
"MK",," "," "," "
"BL"
"RW","Brand for me",16,13,3
"PV",,5.4608%,7.9755%,2.3077%
"MK",," "," C"," "
"BL"
"RW","Brand who genuinely cares about its customers",18,11,7
"PV",,6.1433%,6.7485%,5.3846%
"MK",," "," "," "
"BL"
"RW","Has malasakit/concern for the community",23,16,7
"PV",,7.8498%,9.8160%,5.3846%
"MK",," "," "," "
"BL"
"RW","Has reliable customer service when needed",23,14,9
"PV",,7.8498%,8.5890%,6.9231%
"MK",," "," "," "
"BL"
"RW","Gives me perks, rewards, and privileges that are relevant to me",21,13,8
"PV",,7.1672%,7.9755%,6.1538%
"MK",," "," "," "
"BL"
"RW","Opens up opportunities to progress more in life",19,10,9
"PV",,6.4846%,6.1350%,6.9231%
"MK",," "," "," "
"BL"
"RW","Can be used anywhere (widely accepted, online and in-store)",30,17,13
"PV",,10.2389%,10.4294%,10.0000%
"MK",," "," "," "
"BL"
"RW","Has low to no transaction fees",18,10,8
"PV",,6.1433%,6.1350%,6.1538%
"MK",," "," "," "
"BL"
"RW","Has features that can help me assure my future by growing my finances",22,11,11
"PV",,7.5085%,6.7485%,8.4615%
"MK",," "," "," "
"BL"
"RW","Complete and all-in one financial app/solution/website",28,18,10
"PV",,9.5563%,11.0429%,7.6923%
"MK",," "," "," "
"BL"
"RW","Widely and highly recommended e-wallet brand",20,13,7
"PV",,6.8259%,7.9755%,5.3846%
"MK",," "," "," "
"BL"
"RW","Has advertisements I can relate to",21,13,8
"PV",,7.1672%,7.9755%,6.1538%
"MK",," "," "," "
"BL"
"RW","Brand that is trustworthy",25,16,9
"PV",,8.5324%,9.8160%,6.9231%
"MK",," "," "," "
"BL"
"RW","Products and services are easy to avail of and use",22,13,9
"PV",,7.5085%,7.9755%,6.9231%
"MK",," "," "," "
"BL"
"RW","Does not take advantage of my personal and transaction data",21,13,8
"PV",,7.1672%,7.9755%,6.1538%
"MK",," "," "," "
"BL"
"RW","Brand that helps customers to develop their financial skills and understanding",25,16,9
"PV",,8.5324%,9.8160%,6.9231%
"MK",," "," "," "
"BL"
"RW","Brand I can depend on for emergency or additional funds",21,11,10
"PV",,7.1672%,6.7485%,7.6923%
"MK",," "," "," "
"BL"
"RW","Helps me get ready for a better tomorrow",19,9,10
"PV",,6.4846%,5.5215%,7.6923%
"MK",," "," "," "
"BL"
"RW","Gives me hope for the future",29,15,14
"PV",,9.8976%,9.2025%,10.7692%
"MK",," "," "," "
"BL"
"RW","Not Associated",202,108,94
"PV",,68.9420%,66.2577%,72.3077%
"MK",," "," "," "
"BL"
"RW","Total Count",791,460,331
"PV",,269.9659%,282.2086%,254.6154%
"MK",," "," "," "
"TE"
"TB","9"
"VT","Q64. BRAND ASSOCIATION - KEY BRANDS - ShopeePay"
"HT","TOTAL"
"BT","AMONG BRAND AWARE - ShopeePay"
"CL",,"TOTAL (a)","JAN 2024 (b)","FEB 2024 (c)"
"RT","Total",442,231,211
"PV",,100.0000%,100.0000%,100.0000%
"BL"
"RW","Creates new and continuously innovate its products and services",51,24,27
"PV",,11.5385%,10.3896%,12.7962%
"MK",," "," "," "
"BL"
"RW","Brand for everyone (young or old, rich or poor)",58,29,29
"PV",,13.1222%,12.5541%,13.7441%
"MK",," "," "," "
"BL"
"RW","Brand that is safe and secure",50,21,29
"PV",,11.3122%,9.0909%,13.7441%
"MK",," "," "," "
"BL"
"RW","Provides relevant digital products and services",50,19,31
"PV",,11.3122%,8.2251%,14.6919%
"MK",," "," "," B"
"BL"
"RW","Can be used whenever needed (any time and any day)",43,20,23
"PV",,9.7285%,8.6580%,10.9005%
"MK",," "," "," "
"BL"
"RW","Makes everyday life easier",43,18,25
"PV",,9.7285%,7.7922%,11.8483%
"MK",," "," "," "
"BL"
"RW","Brand for me",54,28,26
"PV",,12.2172%,12.1212%,12.3223%
"MK",," "," "," "
"BL"
"RW","Brand who genuinely cares about its customers",57,27,30
"PV",,12.8959%,11.6883%,14.2180%
"MK",," "," "," "
"BL"
"RW","Has malasakit/concern for the community",48,21,27
"PV",,10.8597%,9.0909%,12.7962%
"MK",," "," "," "
"BL"
"RW","Has reliable customer service when needed",51,20,31
"PV",,11.5385%,8.6580%,14.6919%
"MK",," "," "," B"
"BL"
"RW","Gives me perks, rewards, and privileges that are relevant to me",57,25,32
"PV",,12.8959%,10.8225%,15.1659%
"MK",," "," "," "
"BL"
"RW","Opens up opportunities to progress more in life",59,23,36
"PV",,13.3484%,9.9567%,17.0616%
"MK",," "," "," B"
"BL"
"RW","Can be used anywhere (widely accepted, online and in-store)",47,21,26
"PV",,10.6335%,9.0909%,12.3223%
"MK",," "," "," "
"BL"
"RW","Has low to no transaction fees",41,17,24
"PV",,9.2760%,7.3593%,11.3744%
"MK",," "," "," "
"BL"
"RW","Has features that can help me assure my future by growing my finances",31,13,18
"PV",,7.0136%,5.6277%,8.5308%
"MK",," "," "," "
"BL"
"RW","Complete and all-in one financial app/solution/website",48,19,29
"PV",,10.8597%,8.2251%,13.7441%
"MK",," "," "," "
"BL"
"RW","Widely and highly recommended e-wallet brand",37,15,22
"PV",,8.3710%,6.4935%,10.4265%
"MK",," "," "," "
"BL"
"RW","Has advertisements I can relate to",58,29,29
"PV",,13.1222%,12.5541%,13.7441%
"MK",," "," "," "
"BL"
"RW","Brand that is trustworthy",53,26,27
"PV",,11.9910%,11.2554%,12.7962%
"MK",," "," "," "
"BL"
"RW","Products and services are easy to avail of and use",57,22,35
"PV",,12.8959%,9.5238%,16.5877%
"MK",," "," "," B"
"BL"
"RW","Does not take advantage of my personal and transaction data",48,23,25
"PV",,10.8597%,9.9567%,11.8483%
"MK",," "," "," "
"BL"
"RW","Brand that helps customers to develop their financial skills and understanding",45,18,27
"PV",,10.1810%,7.7922%,12.7962%
"MK",," "," "," "
"BL"
"RW","Brand I can depend on for emergency or additional funds",50,26,24
"PV",,11.3122%,11.2554%,11.3744%
"MK",," "," "," "
"BL"
"RW","Helps me get ready for a better tomorrow",45,17,28
"PV",,10.1810%,7.3593%,13.2701%
"MK",," "," "," B"
"BL"
"RW","Gives me hope for the future",52,18,34
"PV",,11.7647%,7.7922%,16.1137%
"MK",," "," "," B"
"BL"
"RW","Not Associated",261,137,124
"PV",,59.0498%,59.3074%,58.7678%
"MK",," "," "," "
"BL"
"RW","Total Count",1494,676,818
"PV",,338.0090%,292.6407%,387.6777%
"MK",," "," "," "
"TE"
"TB","10"
"VT","Q64. BRAND ASSOCIATION - KEY BRANDS - BDO Mobile/Online"
"HT","TOTAL"
"BT","AMONG USERS OF FINTECH APPS - AMONG BRAND AWARE - BDO Mobile/Online"
"CL",,"TOTAL (a)","JAN 2024 (b)","FEB 2024 (c)"
"RT","Total",90,45,45
"PV",,100.0000%,100.0000%,100.0000%
"BL"
"RW","Creates new and continuously innovate its products and services",19,9,10
"PV",,21.1111%,20.0000%,22.2222%
"MK",," "," "," "
"BL"
"RW","Brand for everyone (young or old, rich or poor)",15,9,6
"PV",,16.6667%,20.0000%,13.3333%
"MK",," "," "," "
"BL"
"RW","Brand that is safe and secure",23,11,12
"PV",,25.5556%,24.4444%,26.6667%
"MK",," "," "," "
"BL"
"RW","Provides relevant digital products and services",20,11,9
"PV",,22.2222%,24.4444%,20.0000%
"MK",," "," "," "
"BL"
"RW","Can be used whenever needed (any time and any day)",20,11,9
"PV",,22.2222%,24.4444%,20.0000%
"MK",," "," "," "
"BL"
"RW","Makes everyday life easier",17,8,9
"PV",,18.8889%,17.7778%,20.0000%
"MK",," "," "," "
"BL"
"RW","Brand for me",21,7,14
"PV",,23.3333%,15.5556%,31.1111%
"MK",," "," "," "
"BL"
"RW","Brand who genuinely cares about its customers",24,9,15
"PV",,26.6667%,20.0000%,33.3333%
"MK",," "," "," "
"BL"
"RW","Has malasakit/concern for the community",21,10,11
"PV",,23.3333%,22.2222%,24.4444%
"MK",," "," "," "
"BL"
"RW","Has reliable customer service when needed",23,10,13
"PV",,25.5556%,22.2222%,28.8889%
"MK",," "," "," "
"BL"
"RW","Gives me perks, rewards, and privileges that are relevant to me",16,5,11
"PV",,17.7778%,11.1111%,24.4444%
"MK",," "," "," "
"BL"
"RW","Opens up opportunities to progress more in life",23,10,13
"PV",,25.5556%,22.2222%,28.8889%
"MK",," "," "," "
"BL"
"RW","Can be used anywhere (widely accepted, online and in-store)",17,7,10
"PV",,18.8889%,15.5556%,22.2222%
"MK",," "," "," "
"BL"
"RW","Has low to no transaction fees",20,10,10
"PV",,22.2222%,22.2222%,22.2222%
"MK",," "," "," "
"BL"
"RW","Has features that can help me assure my future by growing my finances",23,9,14
"PV",,25.5556%,20.0000%,31.1111%
"MK",," "," "," "
"BL"
"RW","Complete and all-in one financial app/solution/website",17,8,9
"PV",,18.8889%,17.7778%,20.0000%
"MK",," "," "," "
"BL"
"RW","Widely and highly recommended e-wallet brand",14,6,8
"PV",,15.5556%,13.3333%,17.7778%
"MK",," "," "," "
"BL"
"RW","Has advertisements I can relate to",14,5,9
"PV",,15.5556%,11.1111%,20.0000%
"MK",," "," "," "
"BL"
"RW","Brand that is trustworthy",22,10,12
"PV",,24.4444%,22.2222%,26.6667%
"MK",," "," "," "
"BL"
"RW","Products and services are easy to avail of and use",14,7,7
"PV",,15.5556%,15.5556%,15.5556%
"MK",," "," "," "
"BL"
"RW","Does not take advantage of my personal and transaction data",20,9,11
"PV",,22.2222%,20.0000%,24.4444%
"MK",," "," "," "
"BL"
"RW","Brand that helps customers to develop their financial skills and understanding",19,10,9
"PV",,21.1111%,22.2222%,20.0000%
"MK",," "," "," "
"BL"
"RW","Brand I can depend on for emergency or additional funds",16,6,10
"PV",,17.7778%,13.3333%,22.2222%
"MK",," "," "," "
"BL"
"RW","Helps me get ready for a better tomorrow",24,9,15
"PV",,26.6667%,20.0000%,33.3333%
"MK",," "," "," "
"BL"
"RW","Gives me hope for the future",21,8,13
"PV",,23.3333%,17.7778%,28.8889%
"MK",," "," "," "
"BL"
"RW","Not Associated",50,26,24
"PV",,55.5556%,57.7778%,53.3333%
"MK",," "," "," "
"BL"
"RW","Total Count",533,240,293
"PV",,592.2222%,533.3333%,651.1111%
"MK",," "," "," "
"TE"
"TB","11"
"VT","Q64. BRAND ASSOCIATION - KEY BRANDS - BPI Mobile/Online"
"HT","TOTAL"
"BT","AMONG USERS OF FINTECH APPS - AMONG BRAND AWARE - BPI Mobile/Online"
"CL",,"TOTAL (a)","JAN 2024 (b)","FEB 2024 (c)"
"RT","Total",58,31,27
"PV",,100.0000%,100.0000%,100.0000%
"BL"
"RW","Creates new and continuously innovate its products and services",11,7,4
"PV",,18.9655%,22.5806%,14.8148%
"MK",," "," "," "
"BL"
"RW","Brand for everyone (young or old, rich or poor)",7,5,2
"PV",,12.0690%,16.1290%,7.4074%
"MK",," "," "," "
"BL"
"RW","Brand that is safe and secure",16,9,7
"PV",,27.5862%,29.0323%,25.9259%
"MK",," "," "," "
"BL"
"RW","Provides relevant digital products and services",15,8,7
"PV",,25.8621%,25.8065%,25.9259%
"MK",," "," "," "
"BL"
"RW","Can be used whenever needed (any time and any day)",13,8,5
"PV",,22.4138%,25.8065%,18.5185%
"MK",," "," "," "
"BL"
"RW","Makes everyday life easier",10,8,2
"PV",,17.2414%,25.8065%,7.4074%
"MK",," "," "," "
"BL"
"RW","Brand for me",13,7,6
"PV",,22.4138%,22.5806%,22.2222%
"MK",," "," "," "
"BL"
"RW","Brand who genuinely cares about its customers",10,5,5
"PV",,17.2414%,16.1290%,18.5185%
"MK",," "," "," "
"BL"
"RW","Has malasakit/concern for the community",9,4,5
"PV",,15.5172%,12.9032%,18.5185%
"MK",," "," "," "
"BL"
"RW","Has reliable customer service when needed",14,6,8
"PV",,24.1379%,19.3548%,29.6296%
"MK",," "," "," "
"BL"
"RW","Gives me perks, rewards, and privileges that are relevant to me",8,4,4
"PV",,13.7931%,12.9032%,14.8148%
"MK",," "," "," "
"BL"
"RW","Opens up opportunities to progress more in life",12,6,6
"PV",,20.6897%,19.3548%,22.2222%
"MK",," "," "," "
"BL"
"RW","Can be used anywhere (widely accepted, online and in-store)",9,5,4
"PV",,15.5172%,16.1290%,14.8148%
"MK",," "," "," "
"BL"
"RW","Has low to no transaction fees",10,6,4
"PV",,17.2414%,19.3548%,14.8148%
"MK",," "," "," "
"BL"
"RW","Has features that can help me assure my future by growing my finances",11,5,6
"PV",,18.9655%,16.1290%,22.2222%
"MK",," "," "," "
"BL"
"RW","Complete and all-in one financial app/solution/website",15,6,9
"PV",,25.8621%,19.3548%,33.3333%
"MK",," "," "," "
"BL"
"RW","Widely and highly recommended e-wallet brand",12,8,4
"PV",,20.6897%,25.8065%,14.8148%
"MK",," "," "," "
"BL"
"RW","Has advertisements I can relate to",9,5,4
"PV",,15.5172%,16.1290%,14.8148%
"MK",," "," "," "
"BL"
"RW","Brand that is trustworthy",14,8,6
"PV",,24.1379%,25.8065%,22.2222%
"MK",," "," "," "
"BL"
"RW","Products and services are easy to avail of and use",11,9,2
"PV",,18.9655%,29.0323%,7.4074%
"MK",," "," "," "
"BL"
"RW","Does not take advantage of my personal and transaction data",11,6,5
"PV",,18.9655%,19.3548%,18.5185%
"MK",," "," "," "
"BL"
"RW","Brand that helps customers to develop their financial skills and understanding",10,6,4
"PV",,17.2414%,19.3548%,14.8148%
"MK",," "," "," "
"BL"
"RW","Brand I can depend on for emergency or additional funds",11,7,4
"PV",,18.9655%,22.5806%,14.8148%
"MK",," "," "," "
"BL"
"RW","Helps me get ready for a better tomorrow",12,6,6
"PV",,20.6897%,19.3548%,22.2222%
"MK",," "," "," "
"BL"
"RW","Gives me hope for the future",14,6,8
"PV",,24.1379%,19.3548%,29.6296%
"MK",," "," "," "
"BL"
"RW","Not Associated",29,18,11
"PV",,50.0000%,58.0645%,40.7407%
"MK",," "," "," "
"BL"
"RW","Total Count",316,178,138
"PV",,544.8276%,574.1935%,511.1111%
"MK",," "," "," "
"TE"
"TB","12"
"VT","Q64. BRAND ASSOCIATION - KEY BRANDS - CLIQQ"
"HT","TOTAL"
"BT","AMONG USERS OF FINTECH APPS - AMONG BRAND AWARE - CLIQQ"
"CL",,"TOTAL (a)","JAN 2024 (b)","FEB 2024 (c)"
"RT","Total",61,27,34
"PV",,100.0000%,100.0000%,100.0000%
"BL"
"RW","Creates new and continuously innovate its products and services",9,5,4
"PV",,14.7541%,18.5185%,11.7647%
"MK",," "," "," "
"BL"
"RW","Brand for everyone (young or old, rich or poor)",8,2,6
"PV",,13.1148%,7.4074%,17.6471%
"MK",," "," "," "
"BL"
"RW","Brand that is safe and secure",7,4,3
"PV",,11.4754%,14.8148%,8.8235%
"MK",," "," "," "
"BL"
"RW","Provides relevant digital products and services",5,3,2
"PV",,8.1967%,11.1111%,5.8824%
"MK",," "," "," "
"BL"
"RW","Can be used whenever needed (any time and any day)",6,2,4
"PV",,9.8361%,7.4074%,11.7647%
"MK",," "," "," "
"BL"
"RW","Makes everyday life easier",12,7,5
"PV",,19.6721%,25.9259%,14.7059%
"MK",," "," "," "
"BL"
"RW","Brand for me",7,4,3
"PV",,11.4754%,14.8148%,8.8235%
"MK",," "," "," "
"BL"
"RW","Brand who genuinely cares about its customers",5,1,4
"PV",,8.1967%,3.7037%,11.7647%
"MK",," "," "," "
"BL"
"RW","Has malasakit/concern for the community",8,5,3
"PV",,13.1148%,18.5185%,8.8235%
"MK",," "," "," "
"BL"
"RW","Has reliable customer service when needed",7,4,3
"PV",,11.4754%,14.8148%,8.8235%
"MK",," "," "," "
"BL"
"RW","Gives me perks, rewards, and privileges that are relevant to me",7,3,4
"PV",,11.4754%,11.1111%,11.7647%
"MK",," "," "," "
"BL"
"RW","Opens up opportunities to progress more in life",8,6,2
"PV",,13.1148%,22.2222%,5.8824%
"MK",," "," "," "
"BL"
"RW","Can be used anywhere (widely accepted, online and in-store)",9,5,4
"PV",,14.7541%,18.5185%,11.7647%
"MK",," "," "," "
"BL"
"RW","Has low to no transaction fees",4,1,3
"PV",,6.5574%,3.7037%,8.8235%
"MK",," "," "," "
"BL"
"RW","Has features that can help me assure my future by growing my finances",10,5,5
"PV",,16.3934%,18.5185%,14.7059%
"MK",," "," "," "
"BL"
"RW","Complete and all-in one financial app/solution/website",5,2,3
"PV",,8.1967%,7.4074%,8.8235%
"MK",," "," "," "
"BL"
"RW","Widely and highly recommended e-wallet brand",5,2,3
"PV",,8.1967%,7.4074%,8.8235%
"MK",," "," "," "
"BL"
"RW","Has advertisements I can relate to",8,4,4
"PV",,13.1148%,14.8148%,11.7647%
"MK",," "," "," "
"BL"
"RW","Brand that is trustworthy",9,5,4
"PV",,14.7541%,18.5185%,11.7647%
"MK",," "," "," "
"BL"
"RW","Products and services are easy to avail of and use",6,3,3
"PV",,9.8361%,11.1111%,8.8235%
"MK",," "," "," "
"BL"
"RW","Does not take advantage of my personal and transaction data",8,6,2
"PV",,13.1148%,22.2222%,5.8824%
"MK",," "," "," "
"BL"
"RW","Brand that helps customers to develop their financial skills and understanding",10,5,5
"PV",,16.3934%,18.5185%,14.7059%
"MK",," "," "," "
"BL"
"RW","Brand I can depend on for emergency or additional funds",5,4,1
"PV",,8.1967%,14.8148%,2.9412%
"MK",," "," "," "
"BL"
"RW","Helps me get ready for a better tomorrow",6,3,3
"PV",,9.8361%,11.1111%,8.8235%
"MK",," "," "," "
"BL"
"RW","Gives me hope for the future",4,2,2
"PV",,6.5574%,7.4074%,5.8824%
"MK",," "," "," "
"BL"
"RW","Not Associated",39,16,23
"PV",,63.9344%,59.2593%,67.6471%
"MK",," "," "," "
"BL"
"RW","Total Count",217,109,108
"PV",,355.7377%,403.7037%,317.6471%
"MK",," "," "," "
"TE"
"TB","13"
"VT","Q64. BRAND ASSOCIATION - KEY BRANDS - Coins.ph"
"HT","TOTAL"
"BT","AMONG USERS OF FINTECH APPS - AMONG BRAND AWARE - Coins.ph"
"CL",,"TOTAL (a)","JAN 2024 (b)","FEB 2024 (c)"
"RT","Total",54,26,28
"PV",,100.0000%,100.0000%,100.0000%
"BL"
"RW","Creates new and continuously innovate its products and services",1,0,1
"PV",,1.8519%,0.0000%,3.5714%
"MK",," "," "," "
"BL"
"RW","Brand for everyone (young or old, rich or poor)",1,0,1
"PV",,1.8519%,0.0000%,3.5714%
"MK",," "," "," "
"BL"
"RW","Brand that is safe and secure",1,0,1
"PV",,1.8519%,0.0000%,3.5714%
"MK",," "," "," "
"BL"
"RW","Provides relevant digital products and services",1,0,1
"PV",,1.8519%,0.0000%,3.5714%
"MK",," "," "," "
"BL"
"RW","Can be used whenever needed (any time and any day)",1,0,1
"PV",,1.8519%,0.0000%,3.5714%
"MK",," "," "," "
"BL"
"RW","Makes everyday life easier",1,0,1
"PV",,1.8519%,0.0000%,3.5714%
"MK",," "," "," "
"BL"
"RW","Brand for me",1,0,1
"PV",,1.8519%,0.0000%,3.5714%
"MK",," "," "," "
"BL"
"RW","Brand who genuinely cares about its customers",2,1,1
"PV",,3.7037%,3.8462%,3.5714%
"MK",," "," "," "
"BL"
"RW","Has malasakit/concern for the community",2,1,1
"PV",,3.7037%,3.8462%,3.5714%
"MK",," "," "," "
"BL"
"RW","Has reliable customer service when needed",1,0,1
"PV",,1.8519%,0.0000%,3.5714%
"MK",," "," "," "
"BL"
"RW","Gives me perks, rewards, and privileges that are relevant to me",2,1,1
"PV",,3.7037%,3.8462%,3.5714%
"MK",," "," "," "
"BL"
"RW","Opens up opportunities to progress more in life",2,1,1
"PV",,3.7037%,3.8462%,3.5714%
"MK",," "," "," "
"BL"
"RW","Can be used anywhere (widely accepted, online and in-store)",1,0,1
"PV",,1.8519%,0.0000%,3.5714%
"MK",," "," "," "
"BL"
"RW","Has low to no transaction fees",1,0,1
"PV",,1.8519%,0.0000%,3.5714%
"MK",," "," "," "
"BL"
"RW","Has features that can help me assure my future by growing my finances",2,1,1
"PV",,3.7037%,3.8462%,3.5714%
"MK",," "," "," "
"BL"
"RW","Complete and all-in one financial app/solution/website",3,2,1
"PV",,5.5556%,7.6923%,3.5714%
"MK",," "," "," "
"BL"
"RW","Widely and highly recommended e-wallet brand",1,0,1
"PV",,1.8519%,0.0000%,3.5714%
"MK",," "," "," "
"BL"
"RW","Has advertisements I can relate to",1,0,1
"PV",,1.8519%,0.0000%,3.5714%
"MK",," "," "," "
"BL"
"RW","Brand that is trustworthy",1,0,1
"PV",,1.8519%,0.0000%,3.5714%
"MK",," "," "," "
"BL"
"RW","Products and services are easy to avail of and use",1,0,1
"PV",,1.8519%,0.0000%,3.5714%
"MK",," "," "," "
"BL"
"RW","Does not take advantage of my personal and transaction data",1,0,1
"PV",,1.8519%,0.0000%,3.5714%
"MK",," "," "," "
"BL"
"RW","Brand that helps customers to develop their financial skills and understanding",2,1,1
"PV",,3.7037%,3.8462%,3.5714%
"MK",," "," "," "
"BL"
"RW","Brand I can depend on for emergency or additional funds",3,2,1
"PV",,5.5556%,7.6923%,3.5714%
"MK",," "," "," "
"BL"
"RW","Helps me get ready for a better tomorrow",1,0,1
"PV",,1.8519%,0.0000%,3.5714%
"MK",," "," "," "
"BL"
"RW","Gives me hope for the future",2,1,1
"PV",,3.7037%,3.8462%,3.5714%
"MK",," "," "," "
"BL"
"RW","Not Associated",48,21,27
"PV",,88.8889%,80.7692%,96.4286%
"MK",," "," "," "
"BL"
"RW","Total Count",84,32,52
"PV",,155.5556%,123.0769%,185.7143%
"MK",," "," "," "
"TE"
"TB","14"
"VT","Q64. BRAND ASSOCIATION - KEY BRANDS - GCash"
"HT","TOTAL"
"BT","AMONG USERS OF FINTECH APPS - AMONG BRAND AWARE - GCash"
"CL",,"TOTAL (a)","JAN 2024 (b)","FEB 2024 (c)"
"RT","Total",597,300,297
"PV",,100.0000%,100.0000%,100.0000%
"BL"
"RW","Creates new and continuously innovate its products and services",510,245,265
"PV",,85.4271%,81.6667%,89.2256%
"MK",," "," "," B"
"BL"
"RW","Brand for everyone (young or old, rich or poor)",530,265,265
"PV",,88.7772%,88.3333%,89.2256%
"MK",," "," "," "
"BL"
"RW","Brand that is safe and secure",510,258,252
"PV",,85.4271%,86.0000%,84.8485%
"MK",," "," "," "
"BL"
"RW","Provides relevant digital products and services",520,259,261
"PV",,87.1022%,86.3333%,87.8788%
"MK",," "," "," "
"BL"
"RW","Can be used whenever needed (any time and any day)",554,272,282
"PV",,92.7973%,90.6667%,94.9495%
"MK",," "," "," B"
"BL"
"RW","Makes everyday life easier",529,261,268
"PV",,88.6097%,87.0000%,90.2357%
"MK",," "," "," "
"BL"
"RW","Brand for me",539,263,276
"PV",,90.2848%,87.6667%,92.9293%
"MK",," "," "," B"
"BL"
"RW","Brand who genuinely cares about its customers",511,253,258
"PV",,85.5946%,84.3333%,86.8687%
"MK",," "," "," "
"BL"
"RW","Has malasakit/concern for the community",483,233,250
"PV",,80.9045%,77.6667%,84.1751%
"MK",," "," "," B"
"BL"
"RW","Has reliable customer service when needed",518,258,260
"PV",,86.7672%,86.0000%,87.5421%
"MK",," "," "," "
"BL"
"RW","Gives me perks, rewards, and privileges that are relevant to me",470,230,240
"PV",,78.7270%,76.6667%,80.8081%
"MK",," "," "," "
"BL"
"RW","Opens up opportunities to progress more in life",490,239,251
"PV",,82.0771%,79.6667%,84.5118%
"MK",," "," "," "
"BL"
"RW","Can be used anywhere (widely accepted, online and in-store)",545,267,278
"PV",,91.2898%,89.0000%,93.6027%
"MK",," "," "," B"
"BL"
"RW","Has low to no transaction fees",496,246,250
"PV",,83.0821%,82.0000%,84.1751%
"MK",," "," "," "
"BL"
"RW","Has features that can help me assure my future by growing my finances",490,237,253
"PV",,82.0771%,79.0000%,85.1852%
"MK",," "," "," B"
"BL"
"RW","Complete and all-in one financial app/solution/website",509,250,259
"PV",,85.2596%,83.3333%,87.2054%
"MK",," "," "," "
"BL"
"RW","Widely and highly recommended e-wallet brand",538,269,269
"PV",,90.1173%,89.6667%,90.5724%
"MK",," "," "," "
"BL"
"RW","Has advertisements I can relate to",492,241,251
"PV",,82.4121%,80.3333%,84.5118%
"MK",," "," "," "
"BL"
"RW","Brand that is trustworthy",523,264,259
"PV",,87.6047%,88.0000%,87.2054%
"MK",," "," "," "
"BL"
"RW","Products and services are easy to avail of and use",540,265,275
"PV",,90.4523%,88.3333%,92.5926%
"MK",," "," "," "
"BL"
"RW","Does not take advantage of my personal and transaction data",525,267,258
"PV",,87.9397%,89.0000%,86.8687%
"MK",," "," "," "
"BL"
"RW","Brand that helps customers to develop their financial skills and understanding",512,255,257
"PV",,85.7621%,85.0000%,86.5320%
"MK",," "," "," "
"BL"
"RW","Brand I can depend on for emergency or additional funds",530,261,269
"PV",,88.7772%,87.0000%,90.5724%
"MK",," "," "," "
"BL"
"RW","Helps me get ready for a better tomorrow",487,236,251
"PV",,81.5745%,78.6667%,84.5118%
"MK",," "," "," "
"BL"
"RW","Gives me hope for the future",492,244,248
"PV",,82.4121%,81.3333%,83.5017%
"MK",," "," "," "
"BL"
"RW","Not Associated",11,8,3
"PV",,1.8425%,2.6667%,1.0101%
"MK",," "," "," "
"BL"
"RW","Total Count",12854,6346,6508
"PV",,2153.0988%,2115.3333%,2191.2458%
"MK",," "," "," "
"TE"
"TB","15"
"VT","Q64. BRAND ASSOCIATION - KEY BRANDS - GrabPay"
"HT","TOTAL"
"BT","AMONG USERS OF FINTECH APPS - AMONG BRAND AWARE - GrabPay"
"CL",,"TOTAL (a)","JAN 2024 (b)","FEB 2024 (c)"
"RT","Total",46,23,23
"PV",,100.0000%,100.0000%,100.0000%
"BL"
"RW","Creates new and continuously innovate its products and services",4,2,2
"PV",,8.6957%,8.6957%,8.6957%
"MK",," "," "," "
"BL"
"RW","Brand for everyone (young or old, rich or poor)",4,2,2
"PV",,8.6957%,8.6957%,8.6957%
"MK",," "," "," "
"BL"
"RW","Brand that is safe and secure",6,3,3
"PV",,13.0435%,13.0435%,13.0435%
"MK",," "," "," "
"BL"
"RW","Provides relevant digital products and services",5,2,3
"PV",,10.8696%,8.6957%,13.0435%
"MK",," "," "," "
"BL"
"RW","Can be used whenever needed (any time and any day)",5,2,3
"PV",,10.8696%,8.6957%,13.0435%
"MK",," "," "," "
"BL"
"RW","Makes everyday life easier",6,3,3
"PV",,13.0435%,13.0435%,13.0435%
"MK",," "," "," "
"BL"
"RW","Brand for me",4,2,2
"PV",,8.6957%,8.6957%,8.6957%
"MK",," "," "," "
"BL"
"RW","Brand who genuinely cares about its customers",6,3,3
"PV",,13.0435%,13.0435%,13.0435%
"MK",," "," "," "
"BL"
"RW","Has malasakit/concern for the community",4,2,2
"PV",,8.6957%,8.6957%,8.6957%
"MK",," "," "," "
"BL"
"RW","Has reliable customer service when needed",5,1,4
"PV",,10.8696%,4.3478%,17.3913%
"MK",," "," "," "
"BL"
"RW","Gives me perks, rewards, and privileges that are relevant to me",5,2,3
"PV",,10.8696%,8.6957%,13.0435%
