"BE","MRDCL Tables"
"JH"," "
"JF"," "
"TB","2"
"IT","Wall-E"
"VT","wtd - FEB-Q1 2024"
"HT","USER AND NON-USER URBANITY"
"BT","All respondents-UNWTD"
"CJ",,,"QUARTER 1 2024",,,,"FEBRUARY 2024",,,
"CH",,,"USER",,"NON-USER",,"USER",,"NON-USER",
"CL",,"TOTAL","URBAN","RURAL","URBAN","RURAL","URBAN","RURAL","URBAN","RURAL"
"RW","     RURAL/VIS/D",5,0,5,0,0,0,5,0,0
"PV",,0.7610%,0.0000%,5.0993%,0.0000%,0.0000%,0.0000%,5.0993%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/MIN/ABC1C2",15,15,0,0,0,15,0,0,0
"PV",,2.5370%,9.9532%,0.0000%,0.0000%,0.0000%,9.9532%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/MIN/D",15,15,0,0,0,15,0,0,0
"PV",,2.5279%,9.9175%,0.0000%,0.0000%,0.0000%,9.9175%,0.0000%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/MIN/ABC1C2",6,0,6,0,0,0,6,0,0
"PV",,1.0172%,0.0000%,6.8155%,0.0000%,0.0000%,0.0000%,6.8155%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     RURAL/MIN/D",28,0,28,0,0,0,28,0,0
"PV",,4.6013%,0.0000%,30.8308%,0.0000%,0.0000%,0.0000%,30.8308%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"RH","FEB 2024 NON-USER"
"BL"
"RW","     URBAN/MMA/ABC1",7,0,0,7,0,0,0,7,0
"PV",,1.1461%,0.0000%,0.0000%,4.3473%,0.0000%,0.0000%,0.0000%,4.3473%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/MMA/C2",12,0,0,12,0,0,0,12,0
"PV",,1.9238%,0.0000%,0.0000%,7.2971%,0.0000%,0.0000%,0.0000%,7.2971%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/MMA/D",16,0,0,16,0,0,0,16,0
"PV",,2.7019%,0.0000%,0.0000%,10.2482%,0.0000%,0.0000%,0.0000%,10.2482%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/NCL/ABC1",1,0,0,1,0,0,0,1,0
"PV",,0.1040%,0.0000%,0.0000%,0.3945%,0.0000%,0.0000%,0.0000%,0.3945%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/NCL/C2",11,0,0,11,0,0,0,11,0
"PV",,1.7921%,0.0000%,0.0000%,6.7974%,0.0000%,0.0000%,0.0000%,6.7974%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
"BL"
"RW","     URBAN/NCL/D",19,0,0,19,0,0,0,19,0
"PV",,3.1531%,0.0000%,0.0000%,11.9596%,0.0000%,0.0000%,0.0000%,11.9596%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "
